Name,RT,Volume,Log P,Anchor
GM1(35:1;O2),9.335,119175,3.46,F
GM1(35:1;O2),11.461,79544,3.46,F
GM1(35:1;O2),13.056,19839,3.46,F
GM1(36:0;O2),10.722,572713,4.51,F
GM1(36:1;O2),10.099,22982958,4,T
GM1(36:1;O2),9.141,806267,4,F
GM1(36:1;O2),9.654,470407,4,F
GM1(36:1;O2),8.718,174895,4,F
GM1(36:1;O2),11.771,44091,4,F
GM1(36:1;O2),12.176,11870,4,F
GM1(37:1;O2),10.893,423413,4.54,F
GM1(37:1;O2),12.873,17719,4.54,F
GM1(38:1;O2),10.69,599708,5.08,F
GM1(38:1;O2),11.175,476337,5.08,F
GM1(38:1;O2),10.255,156614,5.08,F
GM1(38:1;O2),13.518,24100,5.08,F
GM1(38:1;O2),16.473,22210,5.08,F
GM1(38:2;O2),10.498,131696,4.15,T
GM1(38:2;O2),10.824,17753,4.15,F
GM1(39:1;O2),12.347,95335,5.62,F
GM1(39:1;O2),14.135,11818,5.62,F
GM1(40:1;O2),13.035,404485,6.16,T
GM1(40:2;O2),11.907,44842,5.23,F
GM1(41:1;O2),13.702,37551,6.71,F
GM1(41:2;O2),12.585,16994,5.77,F
GM1(42:1;O2),14.321,112160,7.25,T
GM1(42:2;O2),13.226,406593,6.32,F
GM1(43:2;O2),13.841,28255,6.86,F
GM1(44:1;O2),16.534,20333,8.33,F
GM1+dHex(36:1;O2),10.032,6560744,2.91,F
GM1+dHex(36:1;O2),9.56,93263,2.91,F
GM1+dHex(36:2;O2),8.944,229992,1.97,F
GM1+dHex(37:1;O2),10.83,116169,3.45,F
GM1+dHex(38:1;O2),11.555,4723680,3.99,F
GM1+dHex(38:1;O2),11.085,57135,3.99,F
GM1+dHex(40:1;O2),12.965,123570,5.07,F
GM1+dHex(42:2;O2),13.185,26943,5.21,F
GM1+HexNAc(36:1;O2),10.162,45616,1.85,F
GM1+HexNAc(36:1;O2),9.991,37236,1.85,F
GM1+HexNAc(36:1;O2),8.99,27686,1.85,F
GM2(34:0;O2),13.302,7888,5.03,F
GM2(34:1;O2),8.499,27750,4.51,F
GM2(34:1;O2),7.585,17978,4.51,F
GM2(36:0;O2),9.814,103863,6.11,F
GM2(36:0;O2),10.716,25500,6.11,F
GM2(36:1;O2),9.144,1948403,5.59,F
GM2(36:1;O2),10.092,1063518,5.59,F
GM2(36:1;O2),10.412,314138,5.59,F
GM2(36:1;O2),8.717,106771,5.59,F
GM2(36:1;O2),9.65,89339,5.59,F
GM2(36:1;O2),10.05,26542,5.59,F
GM2(36:2;O2),8.093,44213,4.66,F
GM2(36:2;O2),9.013,38876,4.66,F
GM2(37:1;O2),9.957,32740,6.13,F
GM2(38:0;O2),11.335,72731,7.19,F
GM2(38:0;O2),12.191,36260,7.19,F
GM2(38:1;O2),10.693,1339540,6.68,F
GM2(38:1;O2),11.615,739679,6.68,F
GM2(38:1;O2),11.919,149628,6.68,F
GM2(38:1;O2),10.254,94292,6.68,F
GM2(38:1;O2),11.165,93793,6.68,F
GM2(38:2;O2),9.717,11136,5.74,F
GM2(39:1;O2),11.486,9120,7.22,F
GM2(40:1;O2),12.185,35055,7.76,F
GM2(40:1;O2),13.034,15393,7.76,F
GM3(34:1;O2),7.589,166348,6.66,F
GM3(34:1;O2),8.501,131601,6.66,F
GM3(34:1;O2),8.996,21084,6.66,F
GM3(35:1;O2),8.381,48185,7.2,F
GM3(36:0;O2),9.816,689735,8.25,F
GM3(36:1;O2),9.145,12303844,7.74,F
GM3(36:1;O2),10.068,5459983,7.74,F
GM3(36:1;O2),10.606,575457,7.74,T
GM3(36:1;O2),8.468,460014,7.74,F
GM3(36:1;O2),8.736,321971,7.74,F
GM3(36:2;O2),8.098,376474,6.81,F
GM3(36:2;O2),8.992,175125,6.81,F
GM3(38:1;O2),10.693,8948889,8.82,F
GM3(38:1;O2),11.584,3806874,8.82,T
GM3(38:1;O2),10.252,296424,8.82,F
GM3(38:1;O2),9.99,273371,8.82,F
GM3(38:1;O2),12.106,129317,8.82,F
GM3(40:1;O2),12.186,287254,9.91,F
GM3(40:1;O2),13.008,110771,9.91,F
GM3(41:1;O2),12.904,9468,10.45,F
GM3(42:1;O2),14.317,21406,10.99,F
GM3(42:2;O2),13.224,62005,10.06,F
GM4(36:1;O2),13.867,45568,9.88,F
GP1(36:1;O2),7.851,43312,-5.88,F
GP1(36:1;O2),8.114,20894,-5.88,F
GP1(38:1;O2),9.376,43857,-4.8,F
GP1+2OAc(36:1;O2),8.218,208179,-4.73,F
GP1+2OAc(38:1;O2),9.735,75125,-3.65,F
GP1+OAc(36:1;O2),7.894,51484,-5.31,F
GP1+OAc(38:1;O2),9.686,73341,-4.23,F
GP1+OAc(38:1;O2),9.421,37047,-4.23,F
GQ1(34:1;O2),6.821,75153,-4.5,F
GQ1(36:0;O2),8.962,233178,-2.9,F
GQ1(36:0;O3),8.352,361850,-4.06,F
GQ1(36:0;O3),7.721,33321,-4.06,F
GQ1(36:1;O2),8.384,7821652,-3.41,T
GQ1(36:1;O2),8.101,956504,-3.41,F
